Ward,RequestType,CrimeType,Correlation,UselessData
1,1,2,0.095063646,-0.229766878
1,1,3,0.141244331,-0.211481611
1,1,4,0.092825648,-0.230653014
1,1,1,0.237344245,-0.173430799
1,1,9,0.516439122,-0.062923034
1,1,6,0.670848708,-0.001784476
1,1,5,0.090517088,-0.23156709
1,1,7,0.656461784,-0.007480986
1,1,8,0.565482262,-0.043504376
2,1,2,0.77632993,0.03998087
2,1,3,0.698472218,0.009153068
2,1,4,0.577400132,-0.038785489
2,1,1,0.541217798,-0.053111904
2,1,9,0.690354313,0.005938779
2,1,6,0.824605843,0.059095744
2,1,5,0.428963517,-0.097559046
2,1,7,0.673603122,-0.000693864
2,1,8,0.737440648,0.024582638
3,1,2,0.039417891,-0.251799844
3,1,3,0.094125279,-0.230138425
3,1,4,0.194522831,-0.190385961
3,1,1,0.387477659,-0.113985394
3,1,9,0.471907227,-0.080555461
3,1,6,0.86728443,0.075994353
3,1,5,0.33274621,-0.13565634
3,1,7,0.629350587,-0.018215679
3,1,8,0.632003787,-0.017165143
4,1,2,0.263485586,-0.163080121
4,1,3,0.177285109,-0.197211246
4,1,4,0.231362632,-0.175799222
4,1,1,0.403393388,-0.107683552
4,1,9,0.476944317,-0.078561023
4,1,6,0.776241185,0.039945731
4,1,5,0.436784979,-0.094462134
4,1,7,0.655541217,-0.007845485
4,1,8,0.548767745,-0.050122498
5,1,2,0.298717582,-0.149129994
5,1,3,0.271345525,-0.159967974
5,1,4,0.314264456,-0.1429742
5,1,1,0.368222697,-0.121609406
5,1,9,0.388323991,-0.113650288
5,1,6,0.666137395,-0.003649923
5,1,5,0.343233908,-0.13150373
5,1,7,0.581476603,-0.037171408
5,1,8,0.563537795,-0.044274289
6,1,2,0.329641207,-0.136885768
6,1,3,0.092691278,-0.230706218
6,1,4,0.089554964,-0.231948043
6,1,1,0.250678198,-0.168151213
6,1,9,0.202006959,-0.187422616
6,1,6,0.915543579,0.095102589
6,1,5,0.138459477,-0.212584275
6,1,7,0.523467438,-0.060140168
6,1,8,0.573957742,-0.040148506
7,1,2,0.680492725,0.002034078
7,1,3,0.595017057,-0.031810058
7,1,4,0.589710175,-0.033911321
7,1,1,0.748030729,0.028775787
7,1,9,0.615267421,-0.023791916
7,1,6,0.697470847,0.008756574
7,1,5,0.574061273,-0.040107512
7,1,7,0.620509805,-0.021716191
7,1,8,0.689200034,0.005481741
8,1,2,0.376912661,-0.11816861
8,1,3,0.019651112,-0.259626511
8,1,4,0.209744602,-0.184358892
8,1,1,0.317813867,-0.141568809
8,1,9,0.324116405,-0.139073316
8,1,6,0.79576428,0.047675911
8,1,5,0.266405952,-0.161923801
8,1,7,0.592468683,-0.032819089
8,1,8,0.543915293,-0.052043829
9,1,2,0.559957439,-0.045691933
9,1,3,0.169361732,-0.200348511
9,1,4,0.285841013,-0.154228478
9,1,1,0.357524843,-0.125845227
9,1,9,0.389286616,-0.113269136
9,1,6,0.752360763,0.030490266
9,1,5,0.251948577,-0.167648206
9,1,7,0.553561094,-0.048224569
9,1,8,0.591641161,-0.033146746
10,1,2,0.471750475,-0.080617527
10,1,3,0.329324973,-0.137010981
10,1,4,0.41941898,-0.101338211
10,1,1,0.371926067,-0.120143055
10,1,9,0.453427437,-0.087872544
10,1,6,0.813040532,0.054516452
10,1,5,0.216012878,-0.181876965
10,1,7,0.561815233,-0.044956339
10,1,8,0.635293089,-0.015862742
11,1,2,0.243332077,-0.171059914
11,1,3,0.32449897,-0.138921839
11,1,4,0.139644875,-0.212114916
11,1,1,0.254806688,-0.166516536
11,1,9,0.579579318,-0.03792264
11,1,6,0.822657301,0.058324217
11,1,5,0.174741174,-0.198218519
11,1,7,0.570997453,-0.041320634
11,1,8,0.668715182,-0.002629247
12,1,2,0.32928215,-0.137027937
12,1,3,0.405483196,-0.106856092
12,1,4,0.318793717,-0.141180837
12,1,1,0.307586414,-0.145618375
